wilayah,tahun,ipm,kemiskinan,geo_name
Simeulue,2023,68.06,17.92,SIMEULUE
Simeulue,2024,69.01,17.69,SIMEULUE
Sinjai,2015,64.48,9.26,SINJAI
Sinjai,2016,65.36,9.41,SINJAI
Sinjai,2017,65.8,9.24,SINJAI
Sinjai,2018,66.24,9.28,SINJAI
Sinjai,2019,67.05,9.14,SINJAI
Sinjai,2020,67.6,9.0,SINJAI
Sinjai,2021,67.75,8.84,SINJAI
Sinjai,2022,68.33,8.8,SINJAI
Sinjai,2023,68.92,8.55,SINJAI
Sinjai,2024,69.52,7.82,SINJAI
Sintang,2015,64.18,9.33,SINTANG
Sintang,2016,64.78,10.07,SINTANG
Sintang,2017,65.16,10.2,SINTANG
Sintang,2018,66.07,10.35,SINTANG
Sintang,2019,66.7,9.65,SINTANG
Sintang,2020,66.88,9.27,SINTANG
Sintang,2021,66.93,9.28,SINTANG
Sintang,2022,67.86,8.57,SINTANG
Sintang,2023,68.67,8.18,SINTANG
Sintang,2024,69.42,8.03,SINTANG
Situbondo,2015,64.53,13.63,SITUBONDO
Situbondo,2016,65.08,13.34,SITUBONDO
Situbondo,2017,65.68,13.05,SITUBONDO
Situbondo,2018,66.42,11.82,SITUBONDO
Situbondo,2019,67.09,11.2,SITUBONDO
Situbondo,2020,67.38,12.22,SITUBONDO
Situbondo,2021,67.78,12.63,SITUBONDO
Situbondo,2022,68.25,11.78,SITUBONDO
Situbondo,2023,69.16,11.9,SITUBONDO
Situbondo,2024,69.75,11.51,SITUBONDO
Sleman,2015,81.2,9.46,SLEMAN
Sleman,2016,82.15,8.21,SLEMAN
Sleman,2017,82.85,8.13,SLEMAN
Sleman,2018,83.42,7.65,SLEMAN
Sleman,2019,83.85,7.41,SLEMAN
Sleman,2020,83.84,8.12,SLEMAN
Sleman,2021,84.0,8.64,SLEMAN
Sleman,2022,84.31,7.74,SLEMAN
Sleman,2023,84.77,7.52,SLEMAN
Sleman,2024,85.61,7.46,SLEMAN
Solok,2015,67.12,10.0,KOTA SOLOK
Solok,2016,67.67,9.32,KOTA SOLOK
Solok,2017,67.86,9.06,KOTA SOLOK
Solok,2018,68.6,8.88,KOTA SOLOK
Solok,2019,69.08,7.98,KOTA SOLOK
Solok,2020,69.08,7.81,KOTA SOLOK
Solok,2021,69.24,8.01,KOTA SOLOK
Solok,2022,70.02,7.12,KOTA SOLOK
Solok,2023,70.63,7.13,KOTA SOLOK
Solok,2024,71.02,7.31,KOTA SOLOK
Solok Selatan,2015,67.09,7.52,SOLOK SELATAN
Solok Selatan,2016,67.47,7.35,SOLOK SELATAN
Solok Selatan,2017,67.81,7.21,SOLOK SELATAN
Solok Selatan,2018,68.45,7.07,SOLOK SELATAN
Solok Selatan,2019,68.94,7.33,SOLOK SELATAN
Solok Selatan,2020,69.04,7.15,SOLOK SELATAN
Solok Selatan,2021,69.23,7.52,SOLOK SELATAN
Solok Selatan,2022,69.71,6.51,SOLOK SELATAN
Solok Selatan,2023,70.58,6.45,SOLOK SELATAN
Solok Selatan,2024,71.5,6.56,SOLOK SELATAN
Soppeng,2015,65.33,8.36,SOPPENG
Soppeng,2016,65.95,8.45,SOPPENG
Soppeng,2017,66.67,8.29,SOPPENG
Soppeng,2018,67.6,7.5,SOPPENG
Soppeng,2019,68.26,7.25,SOPPENG
Soppeng,2020,68.67,7.59,SOPPENG
Soppeng,2021,68.99,7.53,SOPPENG
Soppeng,2022,69.7,7.49,SOPPENG
Soppeng,2023,70.58,7.48,SOPPENG
Soppeng,2024,71.39,6.9,SOPPENG
Sorong,2015,61.86,33.35,KOTA SORONG
Sorong,2015,,33.35,KOTA SORONG
Sorong,2016,62.42,33.25,KOTA SORONG
Sorong,2016,,33.25,KOTA SORONG
Sorong,2017,63.42,32.86,KOTA SORONG
Sorong,2017,,32.86,KOTA SORONG
Sorong,2018,64.32,30.19,KOTA SORONG
Sorong,2018,,30.19,KOTA SORONG
Sorong,2019,65.29,28.61,KOTA SORONG
Sorong,2019,,28.61,KOTA SORONG
Sorong,2020,65.74,27.48,KOTA SORONG
Sorong,2020,,27.48,KOTA SORONG
Sorong,2021,65.77,27.78,KOTA SORONG
Sorong,2021,,27.78,KOTA SORONG
Sorong,2022,66.69,27.58,KOTA SORONG
Sorong,2022,66.69,27.58,KOTA SORONG
Sorong,2023,67.49,26.88,KOTA SORONG
Sorong,2023,67.49,26.88,KOTA SORONG
Sorong,2024,,25.71,KOTA SORONG
Sorong,2024,68.29,25.71,KOTA SORONG
Sorong Selatan,2015,58.6,20.38,SORONG SELATAN
Sorong Selatan,2015,,20.38,SORONG SELATAN
Sorong Selatan,2016,59.2,19.92,SORONG SELATAN
Sorong Selatan,2016,,19.92,SORONG SELATAN
Sorong Selatan,2017,60.19,19.66,SORONG SELATAN
Sorong Selatan,2017,,19.66,SORONG SELATAN
